@relation whatever

@attribute obs_lat numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
0.0071 , 0.0844 , -0.0388 , -6.0344 , 4.9003
0.0132 , -0.1408 , 0.0782 , -6.0941 , 5.7517
0.0173 , -0.3450 , 0.2252 , -6.2957 , 6.5704
0.0235 , -0.2614 , 0.2605 , -6.6596 , 7.0810
0.0264 , -0.2383 , 0.2729 , -6.8823 , 7.6170
0.0192 , -0.1659 , 0.3650 , -7.0011 , 8.1976
0.0067 , 0.0291 , 0.2263 , -6.4100 , 8.9734
-0.0045 , 0.2139 , 0.0365 , -5.7862 , 9.7042
-0.0125 , 0.3775 , -0.1592 , -5.2515 , 10.3924
-0.0128 , 0.3615 , -0.1623 , -1.7991 , 9.6691
-0.0119 , 0.3186 , -0.1451 , 1.6170 , 8.8561
-0.0067 , 0.2395 , -0.1810 , 5.0697 , 8.1030
0.0038 , -0.0300 , 0.0795 , 5.1255 , 6.9909
0.0093 , -0.2646 , 0.3200 , 5.1771 , 5.9309
0.0161 , -0.6768 , 0.5958 , 5.2233 , 4.8998
0.0170 , -0.2534 , 0.4076 , 6.2835 , 3.7531
0.0086 , -0.1609 , 0.2049 , 5.9145 , -0.9270
0.0092 , -0.1981 , 0.2600 , 5.7910 , -0.7895
0.0081 , -0.0956 , 0.1984 , 5.7413 , -0.2844
0.0048 , 0.0086 , 0.1329 , 5.6790 , 0.2171
-0.0013 , 0.1124 , 0.0635 , 5.6058 , 0.7062
-0.0047 , 0.1503 , -0.0231 , 5.4491 , 1.1382
-0.0051 , 0.1861 , -0.1056 , 5.2945 , 1.5853
-0.0064 , 0.2202 , -0.1850 , 5.1419 , 2.0473
-0.0074 , 0.0789 , -0.1406 , 4.5440 , 0.4168
-0.0076 , -0.0602 , -0.0958 , 3.9656 , -1.2256
-0.0039 , -0.1972 , -0.0521 , 3.3872 , -2.8880
-0.0012 , -0.2653 , 0.0500 , 3.2835 , -1.9096
0.0030 , -0.3334 , 0.1522 , 3.1690 , -0.9113
0.0062 , -0.4110 , 0.2544 , 3.0631 , 0.1608
0.0071 , -0.2702 , 0.2382 , 2.9059 , 0.1970
0.0046 , -0.1297 , 0.2217 , 2.7637 , 0.2160
0.0032 , 0.0065 , 0.2051 , 2.6505 , 0.2402
0.0004 , 0.1183 , 0.1146 , 2.7876 , 0.3471
-0.0027 , 0.2346 , 0.0280 , 2.9222 , 0.4250
-0.0042 , 0.3504 , -0.0558 , 3.0503 , 0.5153
-0.0033 , 0.2506 , -0.0443 , 3.0030 , 0.5016
-0.0016 , 0.1501 , -0.0375 , 2.9440 , 0.4956
0.0000 , 0.0487 , -0.0342 , 2.8745 , 0.4975
0.0021 , -0.0589 , 0.0255 , 1.6971 , 0.5055
0.0047 , -0.1665 , 0.0852 , 0.5197 , 0.5134
0.0056 , -0.2778 , 0.1505 , -0.6503 , 0.5528
0.0064 , -0.1914 , 0.1289 , -1.1308 , 1.2080
0.0065 , -0.1027 , 0.1052 , -1.6149 , 1.8622
0.0031 , -0.0124 , 0.0779 , -2.1059 , 2.5094
0.0005 , 0.0821 , -0.0035 , -2.5315 , 2.8978
-0.0015 , 0.1785 , -0.0866 , -2.9607 , 3.2954
-0.0028 , 0.2731 , -0.1669 , -3.3821 , 3.6791
-0.0011 , 0.1611 , -0.1391 , -3.4234 , 3.3705
0.0036 , 0.0536 , -0.1158 , -3.4730 , 3.0680
0.0058 , -0.0530 , -0.0950 , -3.5194 , 2.7556
0.0077 , -0.1740 , 0.0220 , -3.7799 , 2.8807
0.0108 , -0.2994 , 0.1399 , -4.0343 , 3.0255
0.0131 , -0.4318 , 0.2608 , -4.2903 , 3.1811
0.0146 , -0.3076 , 0.2750 , -4.4782 , 3.2425
0.0134 , -0.1972 , 0.2930 , -4.7299 , 3.2945
0.0081 , -0.0891 , 0.3110 , -5.0016 , 3.3381
0.0040 , 0.0502 , 0.2051 , -5.9122 , 3.7467
0.0013 , 0.1970 , 0.0973 , -6.8235 , 4.1824
0.0001 , 0.3549 , -0.0148 , -7.6888 , 4.6027
0.0005 , 0.2849 , -0.0209 , -7.2013 , 4.7055
0.0013 , 0.2189 , -0.0265 , -6.7228 , 4.8099
0.0057 , 0.1554 , -0.0313 , -6.2539 , 4.9009
0.0102 , -0.0037 , 0.0865 , -6.3472 , 5.7183
0.0141 , -0.1595 , 0.2115 , -6.4964 , 6.5382
0.0182 , -0.3089 , 0.3468 , -6.7234 , 7.3547
0.0204 , -0.2445 , 0.3615 , -6.8652 , 7.7772
0.0194 , -0.1641 , 0.3887 , -6.9774 , 8.1967
0.0186 , -0.1020 , 0.4202 , -7.0782 , 8.6329
0.0161 , 0.0360 , 0.2889 , -5.9967 , 9.4627
0.0092 , 0.1744 , 0.1393 , -4.9638 , 10.2484
0.0016 , 0.3093 , -0.0171 , -3.9546 , 11.0207
-0.0001 , 0.2990 , -0.0610 , -0.9129 , 10.1197
0.0003 , 0.2888 , -0.0976 , 2.2413 , 9.2591
0.0034 , 0.2848 , -0.1322 , 5.4526 , 8.4328
0.0058 , 0.1469 , 0.0191 , 5.4746 , 7.2993
0.0098 , 0.0063 , 0.1793 , 5.4885 , 6.1596
0.0101 , -0.1220 , 0.3587 , 5.5065 , 4.9966
0.0004 , -0.0712 , 0.3588 , 6.6204 , 3.6932
0.0068 , -0.0327 , 0.3531 , 7.7735 , 2.4194
0.0090 , -0.0019 , 0.3457 , 8.9081 , 1.1779
0.0002 , 0.1102 , 0.0876 , 9.0840 , 0.4490
-0.0075 , 0.2235 , -0.1991 , 9.2805 , -0.3380
-0.0107 , 0.4099 , -0.4875 , 9.6162 , -1.2657
-0.0139 , 0.4760 , -0.5025 , 9.3318 , -2.4377
-0.0059 , 0.3610 , -0.3566 , 9.0997 , -3.4823
-0.0120 , 0.2331 , -0.3296 , 8.9137 , -4.4291
-0.0080 , -0.0889 , -0.0284 , 8.4217 , -4.5758
-0.0089 , -0.4279 , 0.3889 , 7.8188 , -4.7483
-0.0076 , -0.4709 , 0.5915 , 7.1257 , -4.9419
-0.0048 , -0.3715 , 0.3950 , 6.5477 , -4.4664
-0.0030 , -0.2047 , 0.3364 , 5.9883 , -3.9691
-0.0027 , -0.0109 , 0.1595 , 5.4835 , -3.4814
-0.0022 , 0.1978 , -0.0803 , 4.8665 , -3.0883
-0.0034 , 0.3741 , -0.3958 , 4.3349 , -2.7441
-0.0038 , 0.8857 , -0.5522 , 3.9018 , -2.4769
-0.0043 , 0.1801 , 0.0294 , 4.0427 , -2.0012
